"TaxID","Coeff","pval","padj","Sig","signLog10pval","Name"
"1310617",-1.78941717584229,1.84486281432303e-06,0.0443283637025538,TRUE,-5.73403592283697,"Acinetobacter baumannii 1406750"
"13656",-2.18382139638536,7.04737250613541e-06,0.0846671332887108,FALSE,-5.15197277219743,"Rhizorhapis suberifaciens"
"84753",-1.87985665122108,1.40693199974451e-05,0.0847859650377463,FALSE,-4.85172689250797,"Moesziomyces antarcticus"
"29487",-1.66382309180069,1.41145272245291e-05,0.0847859650377463,FALSE,-4.85033366425577,"Photorhabdus"
"2657482",-1.54826980413507,2.91714295943018e-05,0.140186222058377,FALSE,-4.53504228703517,NA
"938405",-1.65903436065608,4.34556129296292e-05,0.1672977629884,FALSE,-4.36195412009153,"Belnapia rosea"
"589350",-1.44497192793425,7.22186746093822e-05,0.1672977629884,FALSE,-4.14135048620985,NA
"84751",-1.33131907910558,7.23905921545534e-05,0.1672977629884,FALSE,-4.1403178708311,"Pseudozyma flocculosa"
"1283283",-1.72650379153807,7.63874906565368e-05,0.1672977629884,FALSE,-4.11697775639357,"Frankia sp. Iso899"
"48075",-1.58544563637017,8.72810663702822e-05,0.1672977629884,FALSE,-4.05907995632553,"Marinobacterium"
"175304",-1.9577675923277,9.93081059360602e-05,0.1672977629884,FALSE,-4.00301530115593,NA
"12234",-2.3311605409314,0.000101083878112893,0.1672977629884,FALSE,-3.9953181045962,"Tobamovirus"
"1196393",-1.79203873605558,0.000106909615736448,0.1672977629884,FALSE,-3.97098323142855,"Peterozyma"
"1796033",-1.28224087723388,0.000110715491888185,0.1672977629884,FALSE,-3.95579160612381,NA
"186824",-2.06538018338863,0.000117240267738096,0.1672977629884,FALSE,-3.93092319844714,NA
"2562313",-1.81630246491762,0.000121302906210593,0.1672977629884,FALSE,-3.91612879405425,NA
"69666",-1.62389501309484,0.000135228369504282,0.1672977629884,FALSE,-3.86893218837445,"Caulobacter mirabilis"
"59",-1.59821801399747,0.000150716364779533,0.1672977629884,FALSE,-3.82183958943992,"Vitreoscilla"
"1030157",-1.24469820711957,0.000156157308609298,0.1672977629884,FALSE,-3.80643768473248,"Sphingomonas sp. KC8"
"1904377",-1.64161856220328,0.000157551197685777,0.1672977629884,FALSE,-3.80257829102158,"Acuticoccus"
"1662446",-1.38190084112832,0.000157993388815624,0.1672977629884,FALSE,-3.80136108558333,NA
"2047966",-1.39770417370906,0.000173931138680526,0.1672977629884,FALSE,-3.75962265982294,NA
"857335",-1.3513034904636,0.000184813593993688,0.1672977629884,FALSE,-3.73326608734041,"Candidatus Dactylopiibacterium carminicum"
"382504",-1.30745422982899,0.000185746234064103,0.1672977629884,FALSE,-3.73107998263742,NA
"2663801",-1.48705309638977,0.000209606693776297,0.1672977629884,FALSE,-3.67859485230048,NA
"983594",-1.29462196404556,0.000214096374689887,0.1672977629884,FALSE,-3.66939068658462,"Burkholderia cepacia ATCC 25416"
"2634456",-1.62769149506138,0.00022873762254315,0.1672977629884,FALSE,-3.64066239718128,NA
"2035207",-1.45218865912199,0.000230862689027554,0.1672977629884,FALSE,-3.6366462501005,NA
"293939",-1.15454298034308,0.000231445714005781,0.1672977629884,FALSE,-3.6355508572267,NA
"1508657",-1.66082009548374,0.000233934368817924,0.1672977629884,FALSE,-3.63090596847957,"Ruminiclostridium"
"1598",-1.46187311538092,0.000236938857048533,0.1672977629884,FALSE,-3.62536371083513,"Limosilactobacillus reuteri"
"1790",-1.25446050975746,0.000244171113325287,0.1672977629884,FALSE,-3.61230571658068,"Mycobacterium asiaticum"
"424488",-1.29456289519881,0.000246223728671991,0.1672977629884,FALSE,-3.60867009626769,NA
"66611",-1.33400346899641,0.000248409452560832,0.1672977629884,FALSE,-3.60483188225994,"Chaetothyriaceae"
"1172183",-1.06820074533112,0.000249260864482265,0.1672977629884,FALSE,-3.60334590309909,"Streptomyces canus 299MFChir4.1"
"222991",-2.16390264825505,0.000250654214565607,0.1672977629884,FALSE,-3.60092498864838,NA
"2565934",-1.55556502386179,0.000272393238052959,0.176893641187473,FALSE,-3.56480367764301,NA
"5851",-1.22487754864366,0.000282344710918446,0.178531018788117,FALSE,-3.54922034336343,"Plasmodium knowlesi strain H"
"1096776",-1.17924441401208,0.000306840908067914,0.188419911953282,FALSE,-3.5130867406689,"Flexivirga"
"263815",-1.33881287712302,0.000317691258114468,0.188419911953282,FALSE,-3.49799473545577,NA
"2626549",-1.83123278152819,0.000329418938543822,0.188419911953282,FALSE,-3.48225143653043,NA
"2618356",-1.63441803239417,0.000344795656244752,0.188419911953282,FALSE,-3.4624382140794,NA
"502779",-1.54314681109016,0.000346334384630314,0.188419911953282,FALSE,-3.46050438886089,NA
"2810310",-1.20453808054771,0.000362940486010262,0.188419911953282,FALSE,-3.44016458354888,"Pedobacter sp. SYSU D00873"
"1380566",-1.52384368703904,0.000369246667156771,0.188419911953282,FALSE,-3.43268341596715,"Pochonia chlamydosporia 170"
"2730920",-1.21518261169804,0.000370008706622703,0.188419911953282,FALSE,-3.43178805649055,"Enterovirga sp. DB1703"
"28443",-1.43869813081762,0.000385228288981427,0.188419911953282,FALSE,-3.41428182825201,"Herbidospora"
"1715348",-1.28450001398277,0.000390678345907091,0.188419911953282,FALSE,-3.40818065970862,NA
"153496",-1.131500445615,0.00039597276546481,0.188419911953282,FALSE,-3.40233468330452,"Kozakia baliensis"
"1190",-1.60396565946131,0.00039616969005615,0.188419911953282,FALSE,-3.40211875430201,"Fischerella"
"1843236",-2.06721251391694,0.000399925732879032,0.188419911953282,FALSE,-3.39802065066064,"Sphingomonas montana"
"2161864",-1.49933316057143,0.000436357067199978,0.196177430441088,FALSE,-3.36015798584577,"Opitutus sp. ER46"
"2684405",-1.37513253577027,0.000437447897505984,0.196177430441088,FALSE,-3.35907366646599,NA
"402676",-1.46193487316503,0.000446512962286339,0.196177430441088,FALSE,-3.35016592900899,NA
"498019",-1.44604610631807,0.000452872729350477,0.196177430441088,FALSE,-3.34402383045237,NA
"732238",-1.33436565259593,0.00046471110215415,0.196177430441088,FALSE,-3.33281695190958,"Povalibacter uvarum"
"1500894",-1.96513189461071,0.000465378455765858,0.196177430441088,FALSE,-3.33219372581632,"Massilia sp. 9096"
